36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
06:17:20.0 (69862)|EXECUTION_STARTED
06:17:20.0 (125001)|CODE_UNIT_STARTED|[EXTERNAL]|aura
06:17:20.0 (645678)|HEAP_ALLOCATE|[72]|Bytes:3
06:17:20.0 (739580)|HEAP_ALLOCATE|[77]|Bytes:152
06:17:20.0 (792961)|HEAP_ALLOCATE|[342]|Bytes:408
06:17:20.0 (862053)|HEAP_ALLOCATE|[355]|Bytes:408
06:17:20.0 (936038)|HEAP_ALLOCATE|[467]|Bytes:48
06:17:20.0 (1012965)|HEAP_ALLOCATE|[139]|Bytes:6
06:17:20.0 (1070139)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
06:17:20.0 (1097652)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
06:17:20.0 (2367681)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000006RyOZ|InputLookupController.getCurrentValue
06:17:20.0 (2557110)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
06:17:20.0 (2576906)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
06:17:20.0 (2590518)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
06:17:20.0 (2616548)|METHOD_ENTRY|[1]|01p36000006RyOZ|InputLookupController.InputLookupController()
06:17:20.0 (2629347)|STATEMENT_EXECUTE|[1]
06:17:20.0 (2644992)|STATEMENT_EXECUTE|[1]
06:17:20.0 (2653471)|STATEMENT_EXECUTE|[41]
06:17:20.0 (2668511)|METHOD_EXIT|[1]|InputLookupController
06:17:20.0 (2680767)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
06:17:20.0 (2708190)|SYSTEM_MODE_ENTER|false
06:17:20.0 (2740699)|VARIABLE_SCOPE_BEGIN|[7]|type|String|false|false
06:17:20.0 (2785704)|VARIABLE_ASSIGNMENT|[7]|type|"Contact"
06:17:20.0 (2806575)|VARIABLE_SCOPE_BEGIN|[7]|value|String|false|false
06:17:20.0 (2828091)|VARIABLE_ASSIGNMENT|[7]|value|null
06:17:20.0 (2850874)|STATEMENT_EXECUTE|[7]
06:17:20.0 (3027941)|HEAP_ALLOCATE|[50]|Bytes:5
06:17:20.0 (3086100)|HEAP_ALLOCATE|[56]|Bytes:5
06:17:20.0 (3116508)|HEAP_ALLOCATE|[64]|Bytes:7
06:17:20.0 (3156961)|STATEMENT_EXECUTE|[8]
06:17:20.0 (3168466)|STATEMENT_EXECUTE|[12]
06:17:20.0 (3204976)|VARIABLE_SCOPE_BEGIN|[12]|lookupId|Id|false|false
06:17:20.0 (3243759)|VARIABLE_ASSIGNMENT|[12]|lookupId|null
06:17:20.0 (3256484)|STATEMENT_EXECUTE|[13]
06:17:20.0 (3264066)|STATEMENT_EXECUTE|[13]
06:17:20.0 (3271352)|STATEMENT_EXECUTE|[14]
06:17:20.0 (3301749)|VARIABLE_ASSIGNMENT|[14]|lookupId|null
06:17:20.0 (3425829)|STATEMENT_EXECUTE|[19]
06:17:20.0 (3442005)|STATEMENT_EXECUTE|[20]
06:17:20.0 (3468471)|SYSTEM_MODE_EXIT|false
06:17:20.3 (3543487)|CUMULATIVE_LIMIT_USAGE
06:17:20.3 (3543487)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 0 out of 100
  Number of query rows: 0 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 0 out of 150
  Number of DML rows: 0 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

06:17:20.3 (3543487)|CUMULATIVE_LIMIT_USAGE_END

06:17:20.0 (3626215)|CODE_UNIT_FINISHED|InputLookupController.getCurrentValue
NT_EXECUTE|[53]
06:17:19.0 (16505413)|HEAP_ALLOCATE|[53]|Bytes:4
06:17:19.0 (16569552)|VARIABLE_SCOPE_BEGIN|[53]|dfrLkp|Schema.DescribeSObjectResult|true|false
06:17:19.0 (16659336)|VARIABLE_ASSIGNMENT|[53]|dfrLkp|"common.api.soap.wsdl.DescribeSObjectResult@186823e1"|0x6405e2c0
06:17:19.0 (17452722)|HEAP_ALLOCATE|[54]|Bytes:260
06:17:19.0 (17628305)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:260
06:17:19.0 (17670045)|HEAP_ALLOCATE|[54]|Bytes:260
06:17:19.0 (17838199)|HEAP_ALLOCATE|[54]|Bytes:5
06:17:19.0 (17886035)|VARIABLE_SCOPE_BEGIN|[54]|sotype|Schema.SObjectField|true|false
06:17:19.0 (17957331)|VARIABLE_ASSIGNMENT|[54]|sotype|"common.apex.runtime.impl.ApexFieldToken@3584e21"|0x3584e21
06:17:19.0 (17964837)|STATEMENT_EXECUTE|[54]
06:17:19.0 (17967794)|STATEMENT_EXECUTE|[55]
06:17:19.0 (18344456)|HEAP_ALLOCATE|[55]|Bytes:8
06:17:19.0 (18403577)|VARIABLE_SCOPE_BEGIN|[55]|fieldDescObj|Schema.DescribeFieldResult|true|false
06:17:19.0 (18485936)|VARIABLE_ASSIGNMENT|[55]|fieldDescObj|"common.api.soap.wsdl.Field@9baf364a"|0x6dea4b65
06:17:19.0 (18521069)|STATEMENT_EXECUTE|[56]
06:17:19.0 (18549988)|HEAP_ALLOCATE|[54]|Bytes:5
06:17:19.0 (18586780)|VARIABLE_SCOPE_BEGIN|[54]|sotype|Schema.SObjectField|true|false
06:17:19.0 (18654552)|VARIABLE_ASSIGNMENT|[54]|sotype|"common.apex.runtime.impl.ApexFieldToken@44bd7af4"|0x44bd7af4
06:17:19.0 (18661464)|STATEMENT_EXECUTE|[54]
06:17:19.0 (18663880)|STATEMENT_EXECUTE|[55]
06:17:19.0 (18814845)|HEAP_ALLOCATE|[55]|Bytes:8
06:17:19.0 (18839844)|VARIABLE_SCOPE_BEGIN|[55]|fieldDescObj|Schema.DescribeFieldResult|true|false
06:17:19.0 (18914851)|VARIABLE_ASSIGNMENT|[55]|fieldDescObj|"common.api.soap.wsdl.Field@41d41a44"|0x16085798
06:17:19.0 (18933389)|STATEMENT_EXECUTE|[56]
06:17:19.0 (18961625)|HEAP_ALLOCATE|[54]|Bytes:5
06:17:19.0 (18997046)|VARIABLE_SCOPE_BEGIN|[54]|sotype|Schema.SObjectField|true|false
06:17:19.0 (19063329)|VARIABLE_ASSIGNMENT|[54]|sotype|"common.apex.runtime.impl.ApexFieldToken@63b5525b"|0x63b5525b
06:17:19.0 (19070999)|STATEMENT_EXECUTE|[54]
06:17:19.0 (19073487)|STATEMENT_EXECUTE|[55]
06:17:19.0 (19240791)|HEAP_ALLOCATE|[55]|Bytes:8
06:17:19.0 (19265832)|VARIABLE_SCOPE_BEGIN|[55]|fieldDescObj|Schema.DescribeFieldResult|true|false
06:17:19.0 (19341485)|VARIABLE_ASSIGNMENT|[55]|fieldDescObj|"common.api.soap.wsdl.Field@c25777a7"|0x431007e
06:17:19.0 (19359920)|STATEMENT_EXECUTE|[56]
06:17:19.0 (19387607)|HEAP_ALLOCATE|[54]|Bytes:5
06:17:19.0 (19422996)|VARIABLE_SCOPE_BEGIN|[54]|sotype|Schema.SObjectField|true|false
06:17:19.0 (19488664)|VARIABLE_ASSIGNMENT|[54]|sotype|"common.apex.runtime.impl.ApexFieldToken@12509965"|0x12509965
06:17:19.0 (19495402)|STATEMENT_EXECUTE|[54]
06:17:19.0 (19497885)|STATEMENT_EXECUTE|[55]
06:17:19.0 (19937792)|HEAP_ALLOCATE|[55]|Bytes:8
06:17:19.0 (19963064)|VARIABLE_SCOPE_BEGIN|[55]|fieldDescObj|Schema.DescribeFieldResult|true|false
06:17:19.0 (20039190)|VARIABLE_ASSIGNMENT|[55]|fieldDescObj|"common.api.soap.wsdl.Field@ad70e0a3"|0x1996132c
06:17:19.0 (20058821)|STATEMENT_EXECUTE|[56]
06:17:19.0 (20086698)|HEAP_ALLOCATE|[54]|Bytes:5
06:17:19.0 (20129037)|VARIABLE_SCOPE_BEGIN|[54]|sotype|Schema.SObjectField|true|false
06:17:19.0 (20195414)|VARIABLE_ASSIGNMENT|[54]|sotype|"common.apex.runtime.impl.ApexFieldToken@5338f448"|0x5338f448
06:17:19.0 (20202334)|STATEMENT_EXECUTE|[54]
06:17:19.0 (20204720)|STATEMENT_EXECUTE|[55]
06:17:19.0 (20415882)|HEAP_ALLOCATE|[55]|Bytes:8
06:17:19.0 (20440697)|VARIABLE_SCOPE_BEGIN|[55]|fieldDescObj|Schema.DescribeFieldResult|true|false
06:17:19.0 (20514161)|VARIABLE_ASSIGNMENT|[55]|fieldDescObj|"common.api.soap.wsdl.Field@58dd8063"|0x77791b0d
06:17:19.0 (20532631)|STATEMENT_EXECUTE|[56]
06:17:19.0 (20559802)|HEAP_ALLOCATE|[54]|Bytes:5
06:17:19.0 (20594904)|VARIABLE_SCOPE_BEGIN|[54]|sotype|Schema.SObjectField|true|false
06:17:19.0 (20660368)|VARIABLE_ASSIGNMENT|[54]|sotype|"common.apex.runtime.impl.ApexFieldToken@7cfd4e01"|0x7cfd4e01
06:17:19.0 (20667178)|STATEMENT_EXECUTE|[54]
06:17:19.0 (20669569)|STATEMENT_EXECUTE|[55]
06:17:19.0 (20832730)|HEAP_ALLOCATE|[55]|Bytes:8
06:17:19.0 (20857218)|VARIABLE_SCOPE_BEGIN|[55]|fieldDescObj|Schema.DescribeFieldResult|true|false
06:17:19.0 (20930316)|VARIABLE_ASSIGNMENT|[55]|fieldDescObj|"common.api.soap.wsdl.Field@9a87c5ff"|0x6ea19127
06:17:19.0 (20948551)|STATEMENT_EXECUTE|[56]
06:17:19.0 (20975450)|HEAP_ALLOCATE|[54]|Bytes:5
06:17:19.0 (21010166)|VARIABLE_SCOPE_BEGIN|[54]|sotype|Schema.SObjectField|true|false
06:17:19.0 (21075792)|VARIABLE_ASSIGNMENT|[54]|sotype|"common.apex.runtime.impl.ApexFieldToken@3513fc4f"|0x3513fc4f
06:17:19.0 (21082497)|STATEMENT_EXECUTE|[54]
06:17:19.0 (21084953)|STATEMENT_EXECUTE|[55]
06:17:19.0 (21255899)|HEAP_ALLOCATE|[55]|Bytes:8
06:17:19.0 (21280394)|VARIABLE_SCOPE_BEGIN|[55]|fieldDescObj|Schema.DescribeFieldResult|true|false
06:17:19.0 (21353399)|VARIABLE_ASSIGNMENT|[55]|fieldDescObj|"common.api.soap.wsdl.Field@46f62649"|0x55487315
06:17:19.0 (21371757)|STATEMENT_EXECUTE|[56]
06:17:19.0 (21399045)|HEAP_ALLOCATE|[54]|Bytes:5
06:17:19.0 (21434006)|VARIABLE_SCOPE_BEGIN|[54]|sotype|Schema.SObjectField|true|false
06:17:19.0 (21498522)|VARIABLE_ASSIGNMENT|[54]|sotype|"common.apex.runtime.impl.ApexFieldToken@231ed039"|0x231ed039
06:17:19.0 (21505205)|STATEMENT_EXECUTE|[54]
06:17:19.0 (21507591)|STATEMENT_EXECUTE|[55]
06:17:19.0 (21674798)|HEAP_ALLOCATE|[55]|Bytes:8
06:17:19.0 (21698898)|VARIABLE_SCOPE_BEGIN|[55]|fieldDescObj|Schema.DescribeFieldResult|true|false
06:17:19.0 (21771143)|VARIABLE_ASSIGNMENT|[55]|fieldDescObj|"common.api.soap.wsdl.Field@441324f7"|0x488515ab
06:17:19.0 (21789413)|STATEMENT_EXECUTE|[56]
06:17:19.0 (21792511)|STATEMENT_EXECUTE|[57]
06:17:19.0 (21817837)|HEAP_ALLOCATE|[57]|Bytes:4
06:17:19.0 (21844367)|VARIABLE_ASSIGNMENT|[57]|nameField|"Name"
06:17:19.0 (21848983)|STATEMENT_EXECUTE|[58]
06:17:19.0 (21866259)|VARIABLE_ASSIGNMENT|[54]|sotype|null|
06:17:19.0 (21870778)|STATEMENT_EXECUTE|[61]
06:17:19.0 (21889508)|METHOD_EXIT|[78]|01p36000006RyOZ|InputLookupController.getSobjectNameField(Schema.SObjectType)
06:17:19.0 (21902875)|VARIABLE_SCOPE_BEGIN|[78]|nameField|String|false|false
06:17:19.0 (21919680)|VARIABLE_ASSIGNMENT|[78]|nameField|"Name"
06:17:19.0 (21923585)|STATEMENT_EXECUTE|[79]
06:17:19.0 (21931613)|HEAP_ALLOCATE|[79]|Bytes:2
06:17:19.0 (21942270)|HEAP_ALLOCATE|[79]|Bytes:2
06:17:19.0 (21966003)|HEAP_ALLOCATE|[79]|Bytes:6
06:17:19.0 (21990149)|VARIABLE_ASSIGNMENT|[79]|searchString|"'*Ko*'"
06:17:19.0 (21994511)|STATEMENT_EXECUTE|[80]
06:17:19.0 (22001549)|HEAP_ALLOCATE|[80]|Bytes:44
06:17:19.0 (22012741)|HEAP_ALLOCATE|[81]|Bytes:5
06:17:19.0 (22020859)|HEAP_ALLOCATE|[81]|Bytes:10
06:17:19.0 (22041666)|HEAP_ALLOCATE|[80]|Bytes:74
06:17:19.0 (22053582)|HEAP_ALLOCATE|[81]|Bytes:10
06:17:19.0 (22070497)|HEAP_ALLOCATE|[80]|Bytes:84
06:17:19.0 (22084860)|VARIABLE_SCOPE_BEGIN|[80]|soslQuery|String|false|false
06:17:19.0 (22109629)|VARIABLE_ASSIGNMENT|[80]|soslQuery|"FIND :searchString I (64 more) ..."
06:17:19.0 (22114989)|STATEMENT_EXECUTE|[82]
06:17:19.0 (22122546)|HEAP_ALLOCATE|[82]|Bytes:12
06:17:19.0 (22139664)|HEAP_ALLOCATE|[82]|Bytes:96
06:17:19.0 (22214995)|USER_DEBUG|[82]|DEBUG|SOSL QUERY: FIND :searchString IN NAME FIELDS RETURNING Contact(Id, Name ORDER BY Name) LIMIT 20
06:17:19.0 (22229861)|STATEMENT_EXECUTE|[83]
06:17:19.0 (22542112)|SOSL_EXECUTE_BEGIN|[83]|FIND :searchString IN NAME FIELDS RETURNING Contact(Id, Name ORDER BY Name) LIMIT 20
06:17:19.0 (32795753)|HEAP_ALLOCATE|[83]|Bytes:4
06:17:19.0 (32807680)|HEAP_ALLOCATE|[83]|Bytes:8
06:17:19.0 (32814464)|SOSL_EXECUTE_END|[83]|Rows:0
06:17:19.0 (32871608)|HEAP_ALLOCATE|[83]|Bytes:8
06:17:19.0 (32897591)|VARIABLE_SCOPE_BEGIN|[83]|results|List<List<SObject>>|true|false
06:17:19.0 (32938590)|VARIABLE_ASSIGNMENT|[83]|results|{"s":1,"v":[{"s":2,"v":[]}]}|0x6139fe6a
06:17:19.0 (32944180)|STATEMENT_EXECUTE|[85]
06:17:19.0 (33100175)|HEAP_ALLOCATE|[85]|Bytes:4
