34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
09:37:01.0 (373033)|EXECUTION_STARTED
09:37:01.0 (420221)|CODE_UNIT_STARTED|[EXTERNAL]|0664E0000000AOi|VF: /apex/ReportPLIS
09:37:01.0 (5398373)|CODE_UNIT_STARTED|[EXTERNAL]|01p4E0000008xmf|testPLIS <init>
09:37:01.0 (6116533)|METHOD_ENTRY|[1]|01p4E0000008xmf|testPLIS.testPLIS()
09:37:01.0 (6139265)|METHOD_EXIT|[1]|testPLIS
09:37:01.0 (7343844)|SOQL_EXECUTE_BEGIN|[24]|Aggregations:1|SELECT Id, Name, (SELECT Id, Name, Email FROM Contacts), Phone FROM Account
09:37:01.0 (140564615)|SOQL_EXECUTE_END|[24]|Rows:2846
09:37:01.0 (142216589)|METHOD_ENTRY|[24]||Database.QueryLocatorIterator.hasNext()
09:37:01.0 (142344404)|METHOD_EXIT|[24]||Database.QueryLocatorIterator.hasNext()
09:37:01.0 (142353619)|METHOD_ENTRY|[24]||Database.QueryLocatorIterator.next()
09:37:01.0 (142449056)|METHOD_EXIT|[24]||Database.QueryLocatorIterator.next()
09:37:01.0 (143498539)|METHOD_ENTRY|[24]||Database.QueryLocatorIterator.hasNext()
09:37:01.0 (255773389)|METHOD_EXIT|[24]||Database.QueryLocatorIterator.hasNext()
09:37:01.0 (255791216)|METHOD_ENTRY|[24]||Database.QueryLocatorIterator.next()
09:37:01.0 (255867329)|METHOD_EXIT|[24]||Database.QueryLocatorIterator.next()
09:37:01.0 (256091736)|METHOD_ENTRY|[24]||Database.QueryLocatorIterator.hasNext()
09:37:01.0 (256116614)|METHOD_EXIT|[24]||Database.QueryLocatorIterator.hasNext()
09:37:01.0 (256121507)|METHOD_ENTRY|[24]||Database.QueryLocatorIterator.next()
09:37:01.0 (256179921)|METHOD_EXIT|[24]||Database.QueryLocatorIterator.next()
09:37:01.0 (256317334)|METHOD_ENTRY|[24]||Database.QueryLocatorIterator.hasNext()
09:37:01.0 (256336254)|METHOD_EXIT|[24]||Database.QueryLocatorIterator.hasNext()
09:37:01.0 (256340751)|METHOD_ENTRY|[24]||Database.QueryLocatorIterator.next()
09:37:01.0 (256397474)|METHOD_EXIT|[24]||Database.QueryLocatorIterator.next()
09:37:01.0 (256527829)|METHOD_ENTRY|[24]||Database.QueryLocatorIterator.hasNext()
09:37:01.0 (256546905)|METHOD_EXIT|[24]||Database.QueryLocatorIterator.hasNext()
09:37:01.0 (256551863)|METHOD_ENTRY|[24]||Database.QueryLocatorIterator.next()
09:37:01.0 (256603586)|METHOD_EXIT|[24]||Database.QueryLocatorIterator.next()
09:37:01.0 (256730688)|METHOD_ENTRY|[24]||Database.QueryLocatorIterator.hasNext()
09:37:01.0 (256748811)|METHOD_EXIT|[24]||Database.QueryLocatorIterator.hasNext()
